record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1361,1620925685,136.9,29.8,2849368.699999997,1026921.2999999999,1102814.2,610.9,1018.5999999999999,0.0,0.0,4.0,0.0,0.0,0.0,2040.7000000000007,0.0,83.8,0.0
1362,1620925686,136.20000000000002,27.899999999999995,2849368.699999997,1026958.1,1102815.4,728.4,1028.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2271.9,0.0,319.2,0.0
1363,1620925687,135.79999999999998,33.30000000000001,2849368.699999997,1026979.5000000001,1102816.4999999998,766.5,934.2,0.0,0.0,0.0,0.0,0.0,0.0,1441.5,0.0,51.9,0.0
1364,1620925688,145.3,30.299999999999997,2849368.699999997,1026920.8,1102817.2,1556.7000000000005,1918.8999999999996,0.0,0.0,0.0,0.0,0.0,0.0,2661.2,0.0,398.69999999999993,11.0
1365,1620925689,134.59999999999994,29.799999999999994,2849368.699999997,1026925.1000000001,1102817.7,811.5000000000001,450.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3475.500000000001,0.0,317.5,0.0
1366,1620925690,134.10000000000005,28.900000000000006,2849368.699999997,1026921.4,1102818.1,511.9000000000001,513.3,0.0,0.0,0.0,0.0,0.0,0.0,2803.0,0.0,95.8,0.0
1367,1620925691,153.3,33.7,2849368.699999997,1026958.9000000003,1102818.5,6949.299999999997,7288.6,0.0,0.0,0.0,0.0,0.0,0.0,1361.8000000000004,0.0,307.29999999999995,0.0
1368,1620925692,140.69999999999993,31.8,2849368.699999997,1026986.4,1102818.9999999998,793.3,576.1000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1561.0999999999997,0.0,8.0,0.0
1369,1620925693,136.6,31.199999999999992,2849368.699999997,1026965.9000000001,1102819.4999999998,537.1000000000001,595.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2856.1000000000004,0.0,437.7,11.2
1370,1620925694,138.6,30.199999999999996,2849368.699999997,1027016.1000000002,1102820.0999999999,520.0999999999999,464.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1073.7,0.0,326.20000000000005,0.0
1371,1620925695,133.60000000000002,28.1,2849368.699999997,1027073.5999999999,1102820.7999999998,494.50000000000006,556.1,0.0,0.0,0.0,0.0,0.0,0.0,2063.0000000000005,0.0,87.8,0.0
1372,1620925696,132.40000000000006,26.2,2849368.699999997,1027047.6999999998,1102820.9,660.4000000000002,456.80000000000007,0.0,0.0,0.0,0.0,0.0,0.0,1605.1,0.0,111.5,0.0
1373,1620925697,135.79999999999995,31.099999999999998,2849368.699999997,1026987.9999999999,1102821.2999999998,661.9999999999999,1106.6,0.0,0.0,0.0,0.0,0.0,0.0,3521.9000000000005,0.0,235.5,0.0
1374,1620925698,135.60000000000002,28.799999999999994,2849368.699999997,1026977.1,1102821.7,5539.299999999999,1007.5000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3054.0000000000005,0.0,391.5999999999999,10.9
1375,1620925699,135.89999999999998,29.800000000000008,2849368.699999997,1027004.4999999999,1102822.0999999999,425.5,558.5999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1466.1,0.0,317.3,0.0
1376,1620925700,138.70000000000002,32.199999999999996,2849368.699999997,1027009.3999999999,1102753.7,596.1999999999999,502.2,0.0,0.0,0.0,0.0,0.0,0.0,1944.3999999999999,0.0,51.9,0.0
1377,1620925701,139.70000000000005,32.599999999999994,2849368.699999997,1026974.3000000002,1102754.4,523.9000000000001,552.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1824.6000000000006,0.0,107.5,0.0
1378,1620925702,137.49999999999997,30.599999999999998,2849368.699999997,1026977.2000000002,1102754.6,505.7999999999999,571.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1657.1,0.0,59.9,0.0
1379,1620925703,136.59999999999997,31.2,2849368.699999997,1026972.2000000002,1102755.8,1129.9,654.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1845.4000000000003,0.0,401.5999999999999,11.1
1380,1620925704,138.1,30.9,2849368.699999997,1027003.2,1102757.5000000002,585.4,715.5,0.0,0.0,0.0,0.0,0.0,0.0,1875.1000000000004,0.0,330.2999999999999,0.0
1381,1620925705,134.20000000000005,30.299999999999994,2849368.699999997,1026975.4999999999,1102758.6,619.3,810.9,0.0,0.0,0.0,0.0,0.0,0.0,826.4999999999998,0.0,47.9,0.0
1382,1620925706,142.79999999999998,31.299999999999997,2849368.699999997,1027058.8000000002,1102759.1,856.8,1042.2000000000005,0.0,0.0,0.0,0.0,0.0,0.0,2790.7000000000003,0.0,107.69999999999999,0.0
1383,1620925707,139.4,28.499999999999996,2849368.699999997,1027034.4,1102751.4000000001,4636.2,5728.400000000001,0.0,0.0,283.6,0.0,0.0,0.0,2335.8000000000006,0.0,99.8,0.0
1384,1620925708,134.8,30.1,2849368.699999997,1027020.3000000003,1102751.8,694.0000000000001,537.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1062.4999999999998,0.0,318.6,10.9
1385,1620925709,133.39999999999998,30.09999999999999,2849368.699999997,1027016.9000000001,1102752.2999999998,867.6000000000004,654.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1164.8,0.0,289.6,0.0
1386,1620925710,138.6,32.4,2849368.699999997,1027000.9999999999,1102752.9999999998,1031.1,740.0,0.0,0.0,0.0,0.0,0.0,0.0,2570.5000000000005,0.0,8.0,0.0
1387,1620925711,142.79999999999998,34.5,2849368.699999997,1027050.2000000002,1102753.4999999998,639.1999999999998,914.3,0.0,0.0,0.0,0.0,0.0,0.0,2057.2000000000003,0.0,31.8,43.9
1388,1620925712,136.39999999999998,29.000000000000004,2849368.699999997,1027043.2999999999,1102754.1999999997,6842.9000000000015,1194.8000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1245.8,0.0,59.9,0.0
1389,1620925713,139.59999999999997,34.39999999999999,2849368.699999997,1027039.2,1102755.1999999995,7036.2,1995.6000000000006,0.0,0.0,0.0,0.0,0.0,0.0,1729.8000000000004,0.0,345.49999999999994,18.2
1390,1620925714,138.39999999999998,33.19999999999999,2849368.699999997,1027028.4999999998,1102756.3999999997,676.4999999999999,987.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.0,0.0,266.4000000000001,0.0
