record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1269,1621195537,72.50000000000004,28.4,2849368.699999997,917601.8999999998,997001.9,420.00000000000006,455.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2122.4000000000005,0.0,802.1000000000001,18.3
1270,1621195538,74.49999999999997,28.100000000000005,2849368.699999997,917629.7999999998,997002.2000000002,478.4,564.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1507.9,0.0,312.70000000000005,0.0
1271,1621195539,71.5,29.300000000000004,2849368.699999997,917614.5999999999,996995.5000000001,443.69999999999993,600.0,0.0,0.0,0.0,0.0,0.0,0.0,1221.7999999999997,0.0,47.9,0.0
1272,1621195540,71.59999999999998,27.999999999999986,2849368.699999997,917614.9999999999,996995.9,438.29999999999995,430.5,0.0,0.0,0.0,0.0,0.0,0.0,850.4999999999998,0.0,16.0,0.0
1273,1621195541,82.89999999999999,32.3,2849368.699999997,917604.4999999999,996989.1,537.7000000000002,917.7999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1896.5000000000002,0.0,111.8,0.0
1274,1621195542,72.79999999999998,28.600000000000005,2849368.699999997,917604.2000000001,996989.4,493.6,572.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1041.4999999999998,0.0,690.5,10.9
1275,1621195543,74.60000000000001,30.599999999999994,2849368.699999997,917581.6999999998,996989.9999999999,506.6999999999999,539.9,0.0,0.0,0.0,0.0,0.0,0.0,1397.2,0.0,193.20000000000005,0.0
1276,1621195544,85.4,32.90000000000001,2849368.699999997,917631.4,996990.3999999999,677.9000000000001,12289.099999999997,0.0,0.0,0.0,0.0,0.0,0.0,1509.3999999999999,0.0,8.0,0.0
1277,1621195545,94.60000000000001,30.400000000000013,2849368.699999997,918162.0999999999,996990.6999999998,12108.400000000001,1761.7000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1317.9,0.0,47.9,0.0
1278,1621195546,72.89999999999999,28.300000000000004,2849368.699999997,918169.4999999998,996990.7999999998,497.9,658.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1936.4000000000003,0.0,24.0,0.0
