gis_join,total_iterations,is_center
G4500690,1,false
G5100290,1,false
G1300030,1,false
G1200930,1,false
G2700330,1,false
G3200110,1,false
G3000750,1,false
G0501070,1,false
G1302270,1,false
G3500190,1,false
G2701130,1,false
G2101710,1,false
G3000070,1,false
G0500490,1,false
G1600870,1,false
G4201330,1,false
G1301770,1,false
G1201110,1,false
G5100950,1,false
G4000630,1,false
G3800850,1,false
G0100630,1,false
G1701590,1,false
G3200090,1,false
G2700830,1,false
G4600930,1,false
G4900190,1,false
G4701590,1,false
G3701930,1,false
G5300170,1,false
G3600270,1,false
G4100250,1,false
G5101990,1,false
G4805050,1,false
G1301850,1,false
G1300570,1,false
G3800510,1,false
G2400370,1,false
G0101310,1,false
G4000570,1,false
G0801210,1,false
G4700270,1,false
G5300770,1,false
G4600190,1,false
G2300150,1,false
G4600490,1,false
G3200210,1,false
G2800130,1,false
G1200610,1,false
G1300010,1,false
G0100890,1,false
G4100630,1,false
G3800950,1,false
G4001170,1,false
G3700270,1,false
G3700110,1,false
G1801230,1,false
G4201090,1,false
G1301930,1,false
G2801390,1,false
G3500010,1,false
G3000270,1,false
G2701050,1,false
G1201170,1,false
G4900210,1,false
G1300070,1,false
G4701210,1,false
G2000250,1,false
G0501210,1,false
G3701990,1,false
G3800930,1,false
G1600670,1,false
G5100830,1,false
G2400210,1,false
G2901510,1,false
G2800970,1,false
G3200230,1,false
G2901550,1,false
G4600790,1,false
G4001530,1,false
G3000690,1,false
G5600170,1,false
G1302290,1,false
G3700530,1,false
G0601050,1,false
G2300130,1,false
G4000690,1,false
G1800830,1,false
G2701550,1,false
G4100450,1,false
G0501390,1,false
G4000550,1,false
G4701690,1,false
G5101950,1,false
G3701950,1,false
G3000330,1,false
G4200750,1,false
G2701010,1,false
G2800370,1,false
G0800310,1,false
G1801730,1,false
G3200050,1,false
G3701710,1,false
G3800830,1,false
G0101010,1,false
G0600490,1,false
G4801250,1,false
G1700030,1,false
G3701450,1,false
G3700870,1,false
G1801290,1,false
G2500170,1,false
G3101710,1,false
G2701330,1,false
G4001370,1,false
G0100970,1,false
G4900570,1,false
G0800410,1,false
G4500650,1,false
G3800090,1,false
G4801290,1,false
G2902230,1,false
G3000530,1,false
G5100330,1,false
G4100270,1,false
G4200550,1,false
G2101390,1,false
G4600470,1,false
G1302130,1,false
G4803130,1,false
G1901430,1,false
G3205100,1,false
G4802950,1,false
G2800610,1,false
G5101530,1,false
G3500210,1,false
G3800210,1,false
G2801370,1,false
G1600170,1,false
G2101690,1,false
G4100010,1,false
G3600210,1,false
G4701170,1,false
G4700650,1,false
G4801910,1,false
G4500530,1,false
G3600110,1,false
G3100910,1,false
G2801270,1,false
G3200190,1,false
G0600830,1,false
G4600750,1,false
G5101190,1,false
G4600890,1,false
G2102190,1,false
G5101730,1,false
G0801230,1,false
G2400130,1,false
G3600890,1,false
G2901490,1,false
G3000890,1,false
G4001290,1,false
G4000910,1,false
G4500290,1,false
G2800710,1,false
G4600070,1,false
G3800310,1,false
G1302450,1,false
G5101670,1,false
G3900770,1,false
G4803990,1,false
G4900370,1,false
G4200970,1,false
G2100930,1,false
G3100150,1,false
G4000430,1,false
G0800730,1,false
G5100650,1,false
G4000510,1,false
G5105500,1,false
G2800730,1,false
G5101850,1,false
G4100350,1,false
G4200430,1,false
G5000110,1,false
G3800810,1,false
G4800450,1,false
G0600790,1,false
G4500330,1,false
G2100570,1,false
G0501470,1,false
G4701010,1,false
G4600970,1,false
G4000810,1,false
G3300050,1,false
G3200170,1,false
G3901510,1,false
G5300570,1,false
G0601090,1,false
G4800750,1,false
G1302750,1,false
G3800350,1,false
G3000630,1,false
G5107600,1,false
G5400830,1,false
G2100010,1,false
G4001450,1,false
G4802650,1,false
G3700970,1,false
G4200710,1,false
G2600150,1,false
G4500390,1,false
G4600830,1,false
G5300510,1,false
G3701490,1,false
G3800910,1,false
G1303210,1,false
G0800050,1,false
G5600250,1,false
G5107000,1,false
G0201100,1,false
G2101830,1,false
G2101450,1,false
G3300110,1,false
G4801930,1,false
G2600210,1,false
G4000990,1,false
G1600310,1,false
G4701710,1,false
G1301870,1,false
G0100370,1,false
G4601270,1,false
G3701810,1,false
G2800050,1,false
G0201300,1,false
G3800970,1,false
G2900990,1,false
G4200610,1,false
G3901030,1,false
G5100470,1,false
G3200150,1,false
G4800830,1,false
G4700110,1,false
G4802110,1,false
G3200290,1,false
G5101350,1,false
G0500430,1,false
G5400930,1,false
G4200990,1,false
G2800630,1,false
G4600390,1,false
G3800390,1,false
G2101010,1,false
G2600770,1,false
G4700210,1,false
G4803530,1,false
G1303110,1,false
G4001410,1,false
G5600190,1,false
G5100490,1,false
G0202750,1,false
G2500130,1,false
G2100330,1,false
G1600790,1,false
G4804190,1,false
G3600750,1,false
G1900410,1,false
G4804030,1,false
G3800030,1,false
G4804410,1,false
G4701250,1,false
G4001490,1,false
G4001190,1,false
G5101310,1,false
G2300050,1,false
G5300310,1,false
G5600210,1,false
G2900310,1,false
G3000290,1,false
G0201000,1,false
G4802990,1,false
G2200270,1,false
G3100430,1,false
G3800990,1,false
G1300850,1,false
G4700370,1,false
G2200210,1,false
G5400810,1,false
G5100990,1,false
G3700350,1,false
G2500110,1,false
G4700870,1,false
G3600670,1,false
G4801550,1,false
G5600030,1,false
G3200270,1,false
G2801230,1,false
G3701110,1,false
G4600650,1,false
G4701350,1,false
G2400230,1,false
G3800050,1,false
G3701830,1,false
G2400430,1,false
G2200690,1,false
G2001330,1,false
G4000330,1,false
G4802590,1,false
G2601010,1,false
G2001190,1,false
G4201110,1,false
G4601370,1,false
G4100370,1,false
G4600030,1,false
G2300010,1,false
G2100830,1,false
G0101070,1,false
G3500450,1,false
G4600130,1,false
G5101490,1,false
G2901230,1,false
G4803070,1,false
G1300550,1,false
G2601650,1,false
G1301090,1,false
G1301370,1,false
G4200670,1,false
G5400970,1,false
G3800010,1,false
G2901890,1,false
G4601090,1,false
G4700950,1,false
G5101270,1,false
G1300350,1,false
G4900550,1,false
G3000470,1,false
G2701190,1,false
G3900910,1,false
G4804290,1,false
G4000270,1,false
G1302410,1,false
G4200950,1,false
G5400670,1,false
G1302010,1,false
G4600410,1,false
G1701270,1,false
G5101150,1,false
G2600610,1,false
G2102210,1,false
G4802070,1,false
G0500250,1,false
G4000450,1,false
G3100030,1,false
G3200130,1,false
G2700510,1,false
G3300170,1,false
G4001110,1,false
G4900470,1,false
G5401010,1,false
G1301550,1,false
G1701930,1,false
G3701910,1,false
G3600630,1,false
G4801430,1,false
G3000410,1,false
G3700230,1,false
G0501350,1,false
G2300270,1,false
G4600990,1,false
G0100790,1,false
G4500610,1,false
G5400190,1,false
G1600510,1,false
G3800170,1,false
G3000950,1,false
G1701850,1,false
G2801150,1,false
G1301830,1,false
G2601050,1,false
G4000590,1,false
G4800590,1,false
G2500150,1,false
G3100710,1,false
G4700430,1,false
G2700630,1,false
G0201050,1,false
G4000870,1,false
G3800290,1,false
G3700330,1,false
G2102270,1,false
G4500510,1,false
G1600030,1,false
G4000390,1,false
G2600550,1,false
G0600730,1,false
G2200790,1,false
G4900230,1,false
G0900030,1,false
G4600630,1,false
G5101370,1,false
G0201950,1,false
G0500370,1,false
G4601010,1,false
G2905100,1,false
G4800930,1,false
G4001350,1,false
G3000910,1,false
G4804830,1,false
G2600050,1,false
G4500370,1,false
G2300110,1,false
G3901750,1,false
G4800050,1,false
G0600630,1,false
G3000050,1,false
G2900690,1,false
G0202200,1,false
G5100850,1,false
G4801970,1,false
G2100290,1,false
G4803450,1,false
G3600510,1,false
G3800730,1,false
G3700590,1,false
G4200770,1,false
G4600590,1,false
G4900430,1,false
G2200730,1,false
G1800470,1,false
G1302670,1,false
G1600490,1,false
G1900630,1,false
G3800530,1,false
G0501110,1,false
G5101930,1,false
G2102330,1,false
G4000070,1,false
G4803270,1,false
G2601590,1,false
G2300230,1,false
G4601230,1,false
G2700050,1,false
G0501310,1,false
G4900390,1,false
G4500430,1,false
G3900310,1,false
G3701270,1,false
G2800450,1,false
G4000750,1,false
G2700150,1,false
G1800610,1,false
G4802630,1,false
G3900070,1,false
G1600730,1,false
G3101030,1,false
G2901430,1,false
G3400270,1,false
G4601110,1,false
G3800130,1,false
G4001010,1,false
G3701330,1,false
G4900310,1,false
G0500290,1,false
G1801470,1,false
G4800870,1,false
G4801010,1,false
G2200030,1,false
G3600690,1,false
G2600750,1,false
G4200870,1,false
G2700310,1,false
G4700970,1,false
G3800410,1,false
G1600530,1,false
G5100310,1,false
G4701110,1,false
G3800770,1,false
G2701490,1,false
G3700170,1,false
G2801170,1,false
G4804470,1,false
G4900130,1,false
G3400410,1,false
G2600850,1,false
G4803470,1,false
G3900970,1,false
G1901870,1,false
G4701490,1,false
G3800330,1,false
G0600930,1,false
G1701450,1,false
G2801450,1,false
G4200410,1,false
G2700270,1,false
G4701270,1,false
G4803190,1,false
G3701650,1,false
G4600670,1,false
G2600190,1,false
G3500550,1,false
G3900710,1,false
G5501390,1,false
G1300750,1,false
G1900810,1,false
G4701310,1,false
G3000830,1,false
G4701470,1,false
G3700690,1,false
G4801330,1,false
G4100170,1,false
G4201070,1,false
G3600190,1,false
G3800570,1,false
G0100590,1,false
G2801210,1,false
G4600610,1,false
G1801350,1,false
G1900370,1,false
G0801030,1,false
G2800910,1,false
G2701390,1,false
G1700770,1,false
G3701430,1,false
G4801710,1,false
G2100750,1,false
G3800250,1,false
G0900130,1,false
G3901330,1,false
G1600470,1,false
G4000490,1,false
G4601290,1,false
G2700550,1,false
G1300090,1,false
G4600110,1,false
G1800010,1,false
G4803330,1,false
G4500490,1,false
G2101630,1,false
G5600070,1,false
G3700910,1,false
G5400030,1,false
G0100770,1,false
G2601230,1,false
G3000850,1,false
