record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
6720,1621444540,48.29999999999999,30.800000000000004,2849368.699999997,1075020.8,1024802.4,3216.5000000000005,3617.7000000000007,0.0,0.0,0.0,0.0,0.0,0.0,2884.800000000001,0.0,312.4,0.0
6721,1621444541,62.7,38.499999999999986,2849368.699999997,1075088.7000000002,1024802.9,3821.6000000000017,3423.7999999999984,0.0,0.0,0.0,0.0,0.0,0.0,1856.6000000000001,0.0,79.8,0.0
6722,1621444542,57.30000000000001,32.0,2849368.699999997,1074950.5999999999,1024803.0,4163.599999999999,1679.4999999999998,0.0,0.0,0.0,0.0,0.0,0.0,2188.1000000000004,0.0,8.0,0.0
6723,1621444543,52.3,32.400000000000006,2849368.699999997,1075007.9,1024803.7999999999,4258.099999999999,1930.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3589.100000000001,0.0,71.9,0.0
6724,1621444544,58.29999999999998,36.599999999999994,2849368.699999997,1074997.9,1024804.4999999999,3659.6999999999994,6217.3,0.0,0.0,0.0,0.0,0.0,0.0,1358.6,0.0,343.20000000000005,11.1
6725,1621444545,60.00000000000001,32.9,2849368.699999997,1074906.1,1024805.0,3531.2999999999997,3881.2999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2917.3,0.0,526.4999999999997,0.0
6726,1621444546,59.39999999999999,34.9,2849368.699999997,1074908.0999999999,1024805.1,3605.8,3910.7,0.0,0.0,0.0,0.0,0.0,0.0,1628.9000000000005,0.0,271.4,0.0
6727,1621444547,46.99999999999999,29.899999999999988,2849368.699999997,1075020.2,1024805.5999999999,1963.9000000000008,2277.700000000001,0.0,0.0,0.0,0.0,0.0,0.0,1205.6000000000001,0.0,87.8,0.0
6728,1621444548,45.59999999999999,26.000000000000004,2849368.699999997,1075011.2999999998,1024806.1,5272.2,3566.0000000000014,0.0,0.0,0.0,0.0,0.0,0.0,3170.0,0.0,179.6,0.0
6729,1621444549,38.00000000000001,28.799999999999997,2849368.699999997,1075022.4,1024806.9000000001,4084.000000000001,1339.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,3155.2,0.0,393.29999999999995,11.1
6730,1621444550,48.80000000000001,35.599999999999994,2849368.699999997,1074985.7999999998,1024807.5000000001,3076.1000000000004,1703.4999999999995,0.0,0.0,0.0,0.0,0.0,0.0,2399.1,0.0,388.6,0.0
6731,1621444551,52.59999999999999,33.00000000000001,2849368.699999997,1075018.4000000001,1024808.0000000002,2786.7999999999993,4513.499999999999,0.0,0.0,0.0,0.0,0.0,0.0,2427.4,0.0,203.6,0.0
6732,1621444552,44.4,28.400000000000002,2849368.699999997,1075028.7,1024808.2000000002,1906.5999999999997,1766.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1593.4,0.0,24.0,0.0
6733,1621444553,56.09999999999998,35.89999999999999,2849368.699999997,1075160.1,1024808.5000000002,3724.199999999999,6024.599999999998,0.0,0.0,0.0,0.0,0.0,0.0,1768.9000000000005,0.0,87.9,39.9
6734,1621444554,59.7,38.99999999999999,2849368.699999997,1075195.1,1024808.8000000003,4803.199999999999,3302.4999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1960.5,0.0,322.7,19.7
6735,1621444555,52.900000000000006,32.300000000000004,2849368.699999997,1075195.8,1024809.3000000003,1774.4,2013.5000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1898.2999999999997,0.0,408.29999999999984,0.0
6736,1621444556,62.20000000000002,39.39999999999999,2849368.699999997,1075088.4,1024809.9000000001,2717.5999999999985,3424.800000000001,0.0,0.0,0.0,0.0,0.0,0.0,1932.2000000000005,0.0,123.80000000000001,0.0
6737,1621444557,45.40000000000001,31.900000000000006,2849368.699999997,1075074.5,1024810.7000000001,2130.2000000000007,2461.6000000000013,0.0,0.0,0.0,0.0,0.0,0.0,1145.7,0.0,91.8,0.0
6738,1621444558,46.399999999999984,29.299999999999997,2849368.699999997,1075124.8,1024811.0000000001,2666.3,3604.4999999999995,0.0,0.0,0.0,0.0,0.0,0.0,1357.6000000000001,0.0,55.9,8.0
6739,1621444559,42.4,28.200000000000003,2849368.699999997,1075152.8,1024811.2000000002,3263.800000000001,5142.7,0.0,0.0,0.0,0.0,0.0,0.0,1121.7,0.0,305.1000000000001,11.8
6740,1621444560,49.800000000000004,29.700000000000003,2849368.699999997,1075082.5999999999,1024811.8000000002,2527.4999999999986,2846.4999999999995,0.0,0.0,0.0,0.0,0.0,0.0,3323.3999999999996,0.0,324.3,0.0
6741,1621444561,55.70000000000001,36.7,2849368.699999997,1075049.1999999995,1024812.4000000001,3790.899999999999,3230.9000000000005,0.0,0.0,0.0,0.0,0.0,0.0,2551.500000000001,0.0,191.6,0.0
6742,1621444562,46.599999999999994,28.000000000000004,2849368.699999997,1075119.4999999998,1024812.4000000001,4245.9,2650.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.1,0.0,8.0,0.0
6743,1621444563,42.20000000000001,30.7,2849368.699999997,1075137.8,1024812.7000000001,2918.8,1253.0999999999995,0.0,0.0,0.0,0.0,0.0,0.0,2747.1000000000004,0.0,51.9,0.0
6744,1621444564,65.00000000000001,45.69999999999999,2849368.699999997,1075127.8,1024813.0000000001,5393.299999999999,4986.399999999999,0.0,0.0,0.0,0.0,0.0,0.0,1528.4000000000003,0.0,468.6,11.2
6745,1621444565,55.99999999999999,31.000000000000007,2849368.699999997,1075168.9,1024813.3,3512.7000000000007,4451.400000000001,0.0,0.0,0.0,0.0,0.0,0.0,1119.4,0.0,345.6,0.0
6746,1621444566,55.10000000000001,38.99999999999999,2849368.699999997,1075119.3999999997,1024814.5,2437.1999999999994,1686.7,0.0,0.0,0.0,0.0,0.0,0.0,1724.8999999999999,0.0,8.0,0.0
6747,1621444567,41.6,36.10000000000001,2849368.699999997,1075131.0000000002,1024816.4,2489.0,2707.600000000001,0.0,0.0,0.0,0.0,0.0,0.0,978.1999999999998,0.0,83.8,0.0
6748,1621444568,47.8,35.599999999999994,2849368.699999997,1075139.4999999998,1024818.2,6954.1,2263.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2738.600000000001,0.0,71.9,0.0
6749,1621444569,46.5,31.5,2849368.699999997,1075101.2,1024819.9999999999,1755.8,3191.1000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1281.6,0.0,327.7,11.2
6750,1621444570,38.0,26.8,2849368.699999997,1075098.8000000003,1024820.7,6141.699999999999,2537.600000000001,0.0,0.0,0.0,0.0,0.0,0.0,2023.3000000000004,0.0,301.59999999999997,0.0
6751,1621444571,47.40000000000001,33.300000000000004,2849368.699999997,1075120.1,1024821.7999999999,6589.599999999999,1267.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,4396.2,0.0,39.9,0.0
6752,1621444572,40.9,30.299999999999997,2849368.699999997,1075128.9,1024821.9999999999,6445.2,1449.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,1457.1000000000001,0.0,51.9,0.0
6753,1621444573,46.49999999999999,33.900000000000006,2849368.699999997,1075164.5,1024822.3999999999,3609.4,1796.6000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3302.3000000000006,0.0,20.0,0.0
6754,1621444575,55.2,34.79999999999999,2849368.699999997,1075148.6,1024823.0999999999,1760.7000000000003,13071.900000000001,0.0,0.0,0.0,0.0,0.0,0.0,1406.3000000000002,0.0,309.1000000000001,11.2
6755,1621444576,44.599999999999994,32.70000000000001,2849368.699999997,1075153.8,1024823.4999999999,4747.900000000001,2472.0000000000005,0.0,0.0,0.0,0.0,0.0,0.0,2049.5,0.0,389.29999999999984,0.0
6756,1621444577,53.900000000000006,34.9,2849368.699999997,1075148.3,1024824.2,3371.300000000001,2625.2000000000007,0.0,0.0,0.0,0.0,0.0,0.0,1740.7,0.0,167.6,0.0
6757,1621444578,50.69999999999999,29.599999999999998,2849368.699999997,1075150.4,1024825.1,2351.7999999999997,7559.5,0.0,0.0,0.0,0.0,4.0,0.0,1193.7999999999997,0.0,299.3,0.0
6758,1621444579,47.6,29.499999999999996,2849368.699999997,1075221.6999999997,1024825.2999999999,3405.6000000000004,1301.3000000000004,0.0,0.0,0.0,0.0,0.0,0.0,2407.5000000000005,0.0,12.0,0.0
6759,1621444580,45.40000000000001,33.5,2849368.699999997,1075208.3000000003,1024826.0,4936.000000000002,3263.9000000000005,0.0,0.0,0.0,0.0,0.0,0.0,696.2999999999998,0.0,401.70000000000005,11.1
6760,1621444581,73.19999999999999,37.400000000000006,2849368.699999997,1075204.4000000001,1024826.4999999999,2301.6000000000004,12572.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,2393.7,0.0,380.50000000000006,0.0
6761,1621444582,60.3,32.89999999999999,2849368.699999997,1075215.6,1024826.8999999999,5238.400000000001,1900.4,0.0,0.0,0.0,0.0,0.0,0.0,2083.4000000000005,0.0,51.9,0.0
6762,1621444583,57.50000000000001,34.000000000000014,2849368.699999997,1075169.0,1024827.1,3989.9,13012.699999999999,0.0,0.0,0.0,0.0,0.0,0.0,2040.2000000000007,0.0,203.6,0.0
6763,1621444584,67.5,35.7,2849368.699999997,1075129.4,1024827.2999999999,3219.099999999999,6720.300000000002,0.0,0.0,0.0,0.0,0.0,0.0,3094.8000000000006,0.0,143.7,0.0
6764,1621444585,54.400000000000006,33.5,2849368.699999997,1075041.5,1024827.4999999999,3002.999999999999,6718.0,0.0,0.0,0.0,0.0,0.0,0.0,1507.1999999999998,0.0,347.79999999999995,10.9
6765,1621444586,56.70000000000001,31.7,2849368.699999997,1075042.3,1024828.1999999998,4571.100000000001,5446.900000000002,0.0,0.0,0.0,0.0,0.0,0.0,2059.3,0.0,376.89999999999986,0.0
6766,1621444587,47.400000000000006,31.7,2849368.699999997,1075015.9000000001,1024828.4999999999,1243.3,955.4000000000002,0.0,0.0,0.0,0.0,0.0,0.0,942.3999999999999,0.0,175.6,0.0
6767,1621444588,49.29999999999999,29.50000000000001,2849368.699999997,1075026.2,1024829.0,3963.7,2922.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2603.2000000000003,0.0,47.9,0.0
6768,1621444589,55.99999999999998,29.6,2849368.699999997,1075051.5,1024829.3,5441.400000000001,5072.299999999999,0.0,0.0,0.0,0.0,0.0,0.0,1936.6,0.0,75.9,43.9
6769,1621444590,41.899999999999984,27.29999999999999,2849368.699999997,1075040.7999999996,1024830.1000000002,3108.0000000000014,2686.2000000000003,0.0,0.0,0.0,0.0,0.0,0.0,1753.1,0.0,306.20000000000005,19.7
6770,1621444591,39.99999999999999,28.1,2849368.699999997,1074985.0,1024830.6000000002,3285.7,1060.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1823.4,0.0,324.4,0.0
6771,1621444592,50.39999999999999,33.699999999999996,2849368.699999997,1075017.2000000002,1024831.1000000002,1612.2999999999997,3113.7999999999997,0.0,0.0,0.0,0.0,0.0,0.0,2271.700000000001,0.0,16.0,0.0
6772,1621444593,39.2,26.700000000000003,2849368.699999997,1074989.0999999999,1024831.4000000004,5430.5,4796.999999999998,0.0,0.0,0.0,0.0,4.0,0.0,1625.3,0.0,223.5,0.0
6773,1621444594,50.5,30.899999999999995,2849368.699999997,1074967.1999999997,1024831.5000000005,3302.2999999999997,1437.6999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1764.9000000000003,0.0,12.0,0.0
6774,1621444595,41.699999999999996,33.199999999999996,2849368.699999997,1074982.7999999998,1024831.6000000004,1196.7,1179.1,0.0,0.0,0.0,0.0,0.0,0.0,1316.4999999999998,0.0,342.30000000000007,11.2
6775,1621444596,53.49999999999999,33.699999999999996,2849368.699999997,1074998.0999999999,1024832.2000000004,2580.8,3875.5999999999995,0.0,0.0,0.0,0.0,3.7,0.0,1194.4000000000003,0.0,438.1999999999998,0.0
6776,1621444597,47.99999999999999,37.39999999999999,2849368.699999997,1074968.5,1024833.5000000001,1502.4999999999995,1946.1000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2036.3000000000006,0.0,0.0,0.0
6777,1621444598,40.599999999999994,33.699999999999996,2849368.699999997,1074959.0999999999,1024835.4000000003,1128.1999999999998,3246.5000000000014,0.0,0.0,0.0,0.0,0.0,0.0,2319.8,0.0,28.0,0.0
6778,1621444599,44.19999999999999,29.599999999999994,2849368.699999997,1074946.3,1024837.0000000001,780.0000000000001,4485.799999999998,0.0,0.0,0.0,0.0,0.0,0.0,2343.8000000000006,0.0,83.8,0.0
